"esr";"status";"type";"osm_id";"lat";"lon";"name";"alt_name";"old_name";"official_name";"railway";"user"
"167016";"1";"0";"27225274";"55.04470062";"30.16823006";"Скребни";"";"";"";"halt";"167016"
"167020";"1";"0";"3328858467";"54.98550797";"30.17739487";"Савченки";"";"";"";"halt";"167020"
"167035";"1";"0";"1026516880";"54.93009567";"30.18988228";"Лычковского";"";"";"";"halt";"167035"
"167054";"1";"0";"306066267";"55.01345825";"30.17663765";"Замосточье";"";"";"";"station";"167054"
"167073";"1";"0";"3329956419";"55.08628082";"30.16960907";"Сосновка";"";"";"";"halt";"167073"
"167073";"1";"0";"3329956418";"55.08628464";"30.16954422";"Сосновка";"";"";"";"halt";"167073"
"167105";"1";"0";"418704220";"55.13896942";"30.15922165";"Медвёдка";"";"";"";"station";"167105"
"168108";"1";"0";"271043772";"54.87543869";"28.69104576";"Лепель";"";"";"";"station";"168108"
"168112";"1";"0";"1878109362";"54.88093567";"28.85811996";"Лазовики";"";"";"";"halt";"168112"
"168201";"1";"0";"271044537";"54.87429428";"28.93047142";"Заслоново";"";"116-й километр";"";"station";"168201"
"168216";"1";"0";"271044551";"54.86699295";"29.05026054";"Жестянка";"";"";"";"halt";"168216"
"168305";"1";"0";"938288304";"54.83408356";"29.14048004";"Чашники";"";"";"";"station";"168305"
